ROWID,HCS_POS_POSITION,HCS_POS_GRADE_SUB,POS_CAT_DESCR,POS_CAT,LOCATION,DESCR,DEPTID,Department, PAYGROUP ,POSITION_NBR, BUILDING ,HIRE_DT,TERMINATION_DT,YOS,BIRTHDATE,AGE,HCS_POS_TYPE,REASON_LEAVE,ACTION_REASON,GRADE,STEP,ANNUAL_RT,DAILY_RT,EMPL_STATUS
8517,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2017,4/25/2024,7,12/23/1978,46,1,Active,1,32,7,61681.6,324.64,1
8518,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2017,6/30/2021,4,11/8/1994,30,1,Another Position in Education ,6,28,2,39354.393,207.1283842,0
8519,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2017,6/30/2019,2,10/19/1989,35,1,Moving,12,28,2,37840.762,199.1619053,0
8520,TEACHER,CROSSCAT,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2019,20,8/14/2017,8/5/2018,1,4/11/1974,50,1,Declined Position ,9,29,4,41193.254,216.8066,0
8521,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/7/2017,8/11/2022,5,12/20/1980,44,1,Family Reasons ,7,31,12,60800,320,0
8522,TEACHER,RESOURCE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2960,20,12/6/2017,4/25/2024,7,12/13/1985,39,1,Active,1,31,5,55951.2,294.48,1
8523,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2018,6/30/2019,1,3/5/1993,31,1,Moving,12,31,0,41878.338,220.4123053,0
8524,TEACHER,STEM,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,5469,20,8/13/2018,4/25/2024,6,9/17/1968,56,1,Active,1,32,17,73750.4,388.16,1
8525,TEACHER,RESOURCE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2960,20,8/6/2019,4/25/2024,5,11/18/1980,44,1,Active,1,32,16,72428,381.2,1
8526,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2019,4/25/2024,5,9/29/1995,29,1,Active,1,31,4,54993.6,289.44,1
8527,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2019,4/25/2024,5,6/6/1990,34,1,Active,1,28,5,50403.2,265.28,1
8528,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2019,4/25/2024,5,10/27/1966,58,1,Active,1,31,32,91002.4,478.96,1
8529,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/7/2019,4/25/2024,5,10/4/1996,28,1,Active,1,28,4,49536.8,260.72,1
8530,TEACHER,TMD/PMD,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,5825,20,8/6/2020,4/25/2024,4,7/26/1972,52,1,Active,1,32,22,80742.4,424.96,1
8531,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2020,6/30/2021,1,3/18/1964,60,1,Moving,12,32,15,59892.758,315.2250421,0
8532,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/27/2020,4/25/2024,4,1/11/1976,48,1,Active,1,31,17,69220.8,364.32,1
8533,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2021,4/25/2024,3,9/8/1995,29,1,Active,1,31,5,55951.2,294.48,1
8534,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/6/2021,4/25/2024,3,2/18/1996,28,1,Active,1,28,2,47864.8,251.92,1
8535,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/3/2022,4/25/2024,2,1/30/1995,29,1,Active,1,31,6,56954.4,299.76,1
8536,TEACHER,CROSSCAT,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2019,20,4/27/2022,4/25/2024,2,5/13/2000,24,1,Active,1,28,1,47059.2,247.68,1
8537,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/3/2022,4/25/2024,2,9/11/1999,25,1,Active,1,28,2,47864.8,251.92,1
8538,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/3/2022,4/25/2024,2,5/10/2000,24,1,Active,1,31,1,52196.8,274.72,1
8539,TEACHER,LEARNLOSS,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,6181,20,8/3/2023,4/25/2024,1,2/13/1998,26,1,Active,1,28,3,48700.8,256.32,1
8540,TEACHER,MIDDLE,Teachers,1,61,Ocean Bay Middle,61,Ocean Bay Middle,190,2886,20,8/3/2023,4/25/2024,1,3/7/1981,43,1,Active,1,32,5,59538.4,313.36,1
8541,TECHASST,N/A,Support Staff,8,61,Ocean Bay Middle,61,Ocean Bay Middle,200,5097,20,1/23/2014,4/25/2024,10,7/23/1984,40,0,Active,1,105,10,30600,153,1
8542,TECHASST,N/A,Support Staff,8,61,Ocean Bay Middle,61,Ocean Bay Middle,200,5097,20,8/28/2015,10/30/2022,7,2/13/1974,50,0,Leaving Profession,5,105,11,28890,144.45,0
8543,AIDE,CHILDDEV,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,1389,30,1/31/2005,4/25/2024,19,1/22/1961,63,0,Active,1,103,21,29228.15,157.99,1
8544,AIDE,PRESCHOOL,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,2221,30,1/19/2005,4/25/2024,19,4/18/1966,58,0,Active,1,103,18,29761.875,160.875,1
8545,AIDE,ISS,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,180,910,30,8/19/1998,4/25/2024,26,2/28/1962,62,0,Active,1,103,20,27959.4,155.33,1
8546,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,8/22/2003,4/25/2024,21,2/2/1961,63,0,Active,1,104,25,32659.9,176.54,1
8547,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,8/24/2004,4/25/2024,20,11/8/1961,63,0,Active,1,104,24,32103.05,173.53,1
8548,AIDE,PRESCHOOL,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,2221,30,8/14/2000,6/30/2015,15,10/29/1952,72,0,Retire,3,17,27,25030.5,135.3,0
8549,AIDE,CHILDDEV,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,1389,30,2/16/2005,6/30/2021,16,10/20/1950,74,0,Retire,3,18,30,26754.7,144.62,0
8550,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,8/24/2004,4/25/2024,20,7/24/1965,59,0,Active,1,103,13,25550.35,138.11,1
8551,AIDE,MEDIA,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,779,30,9/2/1997,4/25/2024,27,6/24/1959,65,0,Active,1,103,17,27324.5,147.7,1
8552,AIDE,CROSSCAT,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,4816,30,8/25/2003,1/31/2023,20,7/31/1960,64,0,Retire,3,103,16,24954.65,134.89,0
8553,AIDE,CHILDDEV,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,1389,30,9/7/2005,4/25/2024,19,5/22/1967,57,0,Active,1,103,11,24721.55,133.63,1
8554,AIDE,SPECED,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,6095,30,3/27/2007,10/13/2023,16,10/19/1964,60,0,Death,2,103,16,28790.625,155.625,0
8555,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,7/19/2007,6/30/2021,14,9/18/1957,67,0,Retire,3,18,17,21393.4,115.64,0
8556,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,3/8/2011,4/25/2024,13,4/14/1974,50,0,Active,1,104,23,31559.15,170.59,1
8557,AIDE,CROSSCAT,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,4816,30,3/8/2011,4/25/2024,13,1/30/1970,54,0,Active,1,104,23,31559.15,170.59,1
8558,AIDE,SPECED,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,6095,30,8/5/2013,4/25/2024,11,9/30/1965,59,0,Active,1,104,13,28540.875,154.275,1
8559,AIDE,SPECED,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,6094,30,9/9/2013,4/25/2024,11,5/22/1979,45,0,Active,1,103,3,23254.5,125.7,1
8560,AIDE,CROSSCAT,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,5142,30,4/22/2016,4/25/2024,8,11/27/1976,48,0,Active,1,104,9,24928.75,134.75,1
8561,AIDE,SPECED,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,6094,30,9/20/2017,4/25/2024,7,8/26/1983,41,0,Active,1,103,10,26057.25,140.85,1
8562,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,1/28/2020,4/25/2024,4,10/30/1965,59,0,Active,1,104,13,26638.15,143.99,1
8563,AIDE,INSTR,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,180,6507,30,3/2/2021,4/25/2024,3,1/14/1989,35,0,Active,1,103,1,20449.8,113.61,1
8564,AIDE,KIND,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,676,30,5/3/2021,6/30/2022,1,8/17/1997,27,0,Another Position in Education ,6,103,1,17158.75,92.75,0
8565,AIDE,SPECED,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,6095,30,8/3/2023,4/25/2024,1,1/2/1975,49,0,Active,1,104,10,27153.375,146.775,1
8566,AIDE,INSTR,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,180,6507,30,9/1/2023,4/25/2024,1,12/4/1962,62,0,Active,1,104,13,25918.2,143.99,1
8567,ASSTPRIN,I,Assistant Principals,3,66,Ocean Drive Elementary,66,Ocean Drive Elementary,210,597,30,8/18/2008,4/25/2024,16,10/1/1976,48,1,Active,1,210,23,89056.8,424.08,1
8568,ASSTPRIN,I,Assistant Principals,3,66,Ocean Drive Elementary,66,Ocean Drive Elementary,210,597,30,9/18/2017,6/30/2019,2,6/17/1954,70,1,Temporary Agreements ,8,33,22,36090.344,171.858781,0
8569,BOOKKPR,III,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,240,855,30,8/22/2006,4/25/2024,18,5/3/1962,62,0,Active,1,107,30,58328.476,243.0353167,1
8570,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,1744,30,2/6/2004,4/25/2024,20,7/7/1963,61,0,Active,1,101,18,23737.35,128.31,1
8571,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,3010,30,8/25/1989,5/31/2016,27,10/10/1955,69,0,Retire,3,15,28,20592.331,112.5263989,0
8572,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,3010,30,8/16/1999,10/31/2017,18,9/11/1958,66,0,Retire,3,15,21,18920.37,103.39,0
8573,CAFETERIA,ASSTMGR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,1662,30,5/1/2006,7/15/2019,13,9/17/1955,69,0,Retire,3,16,30,25942.08,141.76,0
8574,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,5274,30,9/9/2016,7/17/2017,1,6/11/1968,56,0,Unknown,4,15,16,10240.68,55.96,0
8575,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,5274,30,1/2/2017,5/27/2021,4,3/26/1987,37,0,Unknown,4,15,13,9911.28,54.16,0
8576,CAFETERIA,ASSTMGR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,188,1662,30,10/28/2019,4/25/2024,5,1/20/1984,40,0,Active,1,102,15,29433.28,156.56,1
8577,CAFETERIA,MGR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,5005,30,1/17/2020,4/25/2024,4,10/1/1978,46,0,Active,1,106,21,39003.2,205.28,1
8578,CAFETERIA,ASSTMGR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,183,1662,30,3/7/2022,6/30/2022,0,1/14/1962,62,0,Family Reasons ,7,102,16,24770.88,135.36,0
8579,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,5274,30,5/2/2022,4/25/2024,2,5/23/1964,60,0,Active,1,101,10,19214.1,103.86,1
8580,CAFETERIA,OPERATOR,Food Service,5,66,Ocean Drive Elementary,66,Ocean Drive Elementary,185,3010,30,11/7/2022,4/25/2024,2,12/17/1979,45,0,Active,1,101,6,21017.85,113.61,1
8581,CHDCAREMAN,SUPV,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,180,3435,30,10/14/2015,6/30/2019,4,8/15/1994,30,0,Unknown,4,19,2,9504,52.8,0
8582,CLERK,V,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,718,30,1/18/2018,4/25/2024,6,9/9/1965,59,0,Active,1,106,19,35325.75,185.925,1
8583,GUIDCOUN,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,434,30,8/22/2005,10/1/2020,15,3/31/1974,50,1,Another Position in Education ,6,31,19,63447.208,333.9326737,0
8584,GUIDCOUN,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,434,30,9/15/2020,1/11/2021,1,5/5/1989,35,1,Leaving Profession,5,31,9,52049.421,273.9443211,0
8585,GUIDCOUN,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,434,30,8/6/2021,4/25/2024,3,2/2/1983,41,1,Active,1,32,7,61681.6,324.64,1
8586,INTERVENT,IV,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,2727,30,11/14/2006,4/25/2024,18,1/19/1975,49,1,Active,1,205,20,60739.2,319.68,1
8587,INTERVENT,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,3115,30,9/28/2010,4/25/2024,14,2/20/1974,50,1,Active,1,202,14,46648.8,245.52,1
8588,MEDIASPEC,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,519,30,8/14/2012,1/31/2021,9,11/17/1958,66,1,Retire,3,31,29,76577.667,403.0403526,0
8589,MEDIASPEC,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,519,30,4/15/2016,4/25/2024,8,6/27/1989,35,1,Active,1,31,7,57957.6,305.04,1
8590,NURSERN,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,480,30,8/6/2014,4/25/2024,10,9/12/1961,63,1,Active,1,113,30,65846.4,346.56,1
8591,PRINCIPAL,I,Principals,2,66,Ocean Drive Elementary,66,Ocean Drive Elementary,246,4804,30,8/21/1990,4/25/2024,34,1/16/1963,61,1,Active,1,305,24,139865.76,568.56,1
8592,READCOACH,N/A,Non-Teaching Prof,7,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,5165,30,4/26/2011,4/25/2024,13,10/3/1989,35,1,Active,1,32,12,67412,354.8,1
8593,SECRETARY,I,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,856,30,8/20/2004,6/30/2020,16,3/12/1959,65,0,Retire,3,19,31,32093.28,168.912,0
8594,SECRETARY,I,Support Staff,8,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,856,30,10/2/2020,4/25/2024,4,2/10/1981,43,0,Active,1,103,16,29568.75,155.625,1
8595,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,6433,30,8/20/1985,4/25/2024,39,6/19/1963,61,1,Retire,3,28,30,76000,400,0
8596,TEACHER,1ST,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,199,30,8/19/1986,6/30/2018,32,2/10/1959,65,1,Retire,3,31,28,72188.611,379.9400579,0
8597,TEACHER,CHILDDEV,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1034,30,8/27/1985,12/31/2017,32,11/3/1961,63,1,Another Position in Education ,6,31,28,72188.611,379.9400579,0
8598,TEACHER,5TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4808,30,8/23/1988,6/30/2018,30,10/11/1957,67,1,Retire,3,32,28,73757.894,388.1994421,0
8599,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,8/9/2000,4/25/2024,24,8/6/1962,62,1,Active,1,31,32,91002.4,478.96,1
8600,TEACHER,PHYSED,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,203,30,8/14/1996,4/25/2024,28,6/25/1971,53,1,Active,1,28,28,75711.2,398.48,1
8601,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,8/18/1997,7/14/2023,26,9/16/1970,54,1,Retire,3,32,27,85971.2,452.48,0
8602,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,8/9/2001,4/25/2024,23,1/18/1950,74,1,Retire,3,31,28,72188.611,379.9400579,0
8603,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,9/16/1980,4/25/2024,44,10/25/1955,69,1,Retire,3,29,28,65598.754,345.2566,0
8604,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,9/11/1989,4/25/2024,35,6/13/1957,67,1,Retire,3,32,28,73757.894,388.1994421,0
8605,TEACHER,READING,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4391,30,8/19/1997,4/25/2024,27,7/11/1966,58,1,Active,1,29,32,84572.8,445.12,1
8606,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,8/23/1983,6/30/2015,32,7/16/1956,68,1,Retire,3,29,27,63051.474,331.8498632,0
8607,TEACHER,CHILDDEV,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1034,30,8/15/1995,9/15/2021,26,1/14/1963,61,1,Retire,3,31,26,74936,394.4,0
8608,TEACHER,FINEARTS,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4253,30,8/21/1992,4/25/2024,32,4/4/1969,55,1,Active,1,31,30,87628,461.2,1
8609,TEACHER,PRESCHOOL,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,2001,30,9/17/1993,4/25/2024,31,9/12/1952,72,1,Retire,3,31,28,72188.611,379.9400579,0
8610,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,8/16/1999,4/25/2024,25,8/12/1975,49,1,Active,1,31,25,79982.4,420.96,1
8611,TEACHER,READING,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4391,30,8/18/2003,6/30/2020,17,5/1/1980,44,1,Another Position in Education ,6,31,16,59786.984,314.6683368,0
8612,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,8/22/2005,4/25/2024,19,2/28/1982,42,1,Active,1,28,18,63292.8,333.12,1
8613,TEACHER,READING,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4391,30,10/19/1990,4/25/2024,34,1/17/1967,57,1,Active,1,31,27,82946.4,436.56,1
8614,TEACHER,STEM,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,5805,30,12/5/2005,4/25/2024,19,2/11/1979,45,1,Active,1,31,16,67989.6,357.84,1
8615,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,5/9/2006,4/25/2024,18,2/20/1984,40,1,Active,1,31,17,69220.8,364.32,1
8616,TEACHER,CHILDDEV,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1034,30,5/10/2006,4/25/2024,18,1/2/1984,40,1,Active,1,31,15,66788.8,351.52,1
8617,TEACHER,CROSSCAT,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4817,30,8/18/2006,8/2/2015,9,8/9/1959,65,1,Another Position in Education ,6,31,27,69385.439,365.1865211,0
8618,TEACHER,CROSSCAT,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4817,30,8/18/2006,4/25/2024,18,7/24/1958,66,1,Active,1,31,17,69220.8,364.32,1
8619,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,1/9/2007,4/25/2024,17,1/27/1981,43,1,Active,1,31,15,66788.8,351.52,1
8620,TEACHER,5TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4808,30,2/19/2008,4/25/2024,16,1/14/1989,35,1,Active,1,28,10,54963.2,289.28,1
8621,TEACHER,4TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4807,30,8/18/2008,6/30/2015,7,2/9/1950,74,1,Moving,12,31,27,69385.439,365.1865211,0
8622,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,8/18/2008,6/30/2017,9,4/15/1983,41,1,Moving,12,28,9,43036.9,226.51,0
8623,TEACHER,PRESCHOOL,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,2071,30,5/1/2009,4/25/2024,15,8/30/1985,39,1,Active,1,31,14,65603.2,345.28,1
8624,TEACHER,4TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4807,30,8/13/2011,4/25/2024,13,3/13/1983,41,1,Active,1,31,12,63308,333.2,1
8625,TEACHER,CROSSCAT,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1922,30,9/7/2010,6/30/2019,9,7/24/1981,43,1,Another Position in Education ,6,31,7,48103.574,253.1767053,0
8626,TEACHER,5TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4808,30,3/2/2010,4/25/2024,14,5/4/1984,40,1,Active,1,31,12,63308,333.2,1
8627,TEACHER,RESOURCE,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1921,30,8/13/2010,4/25/2024,14,5/13/1986,38,1,Active,1,28,14,58960.8,310.32,1
8628,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,9/9/2010,4/25/2024,14,3/19/1992,32,1,Active,1,31,9,60040,316,1
8629,TEACHER,RESOURCE,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1921,30,8/15/2011,6/30/2015,4,6/2/1984,40,1,Moving,12,31,3,43138.717,227.0458789,0
8630,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,9/7/2011,4/25/2024,13,2/28/1988,36,1,Active,1,31,12,63308,333.2,1
8631,TEACHER,READING,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4391,30,8/1/2012,6/30/2017,5,9/29/1953,71,1,Retire,3,31,28,70773.147,372.4902474,0
8632,TEACHER,5TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4808,30,8/1/2012,4/25/2024,12,8/27/1987,37,1,Active,1,28,12,56924,299.6,1
8633,TEACHER,5TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4808,30,11/7/2012,4/25/2024,12,12/1/1977,47,1,Active,1,28,10,54963.2,289.28,1
8634,TEACHER,4TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4807,30,8/14/2013,4/25/2024,11,11/12/1979,45,1,Active,1,32,19,76471.2,402.48,1
8635,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,4/4/2014,4/25/2024,10,4/23/1992,32,1,Active,1,28,9,54020.8,284.32,1
8636,TEACHER,4TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4807,30,8/12/2014,4/25/2024,10,8/20/1992,32,1,Active,1,31,9,60040,316,1
8637,TEACHER,2ND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4805,30,8/12/2014,6/30/2018,4,9/7/1991,33,1,Another Position in Education ,6,28,3,38214.7,201.13,0
8638,TEACHER,1ST,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,199,30,11/18/2014,4/25/2024,10,9/23/1992,32,1,Active,1,31,8,58991.2,310.48,1
8639,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,4/17/2015,6/30/2017,2,9/29/1993,31,1,Another Position in Education ,6,28,1,36734.6,193.34,0
8640,TEACHER,RESOURCE,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1921,30,8/12/2015,1/15/2016,1,7/31/1980,44,1,Moving,12,28,6,39760.396,209.2652421,0
8641,TEACHER,4TH,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4807,30,8/12/2015,4/25/2024,9,6/4/1993,31,1,Active,1,28,8,53093.6,279.44,1
8642,TEACHER,RESOURCE,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,1921,30,10/16/2015,4/25/2024,9,9/6/1992,32,1,Active,1,28,7,52181.6,274.64,1
8643,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,11/13/2015,4/25/2024,9,3/13/1971,53,1,Active,1,28,10,54963.2,289.28,1
8644,TEACHER,1ST,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,199,30,8/16/2016,6/29/2022,6,11/26/1995,29,1,Another Position in Education ,6,28,3,42180,222,0
8645,TEACHER,KIND,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,110,30,4/25/2017,4/25/2024,7,1/17/1996,28,1,Active,1,31,6,56954.4,299.76,1
8646,TEACHER,PHYSED,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,6023,30,4/25/2017,4/25/2024,7,11/22/1993,31,1,Active,1,28,4,49536.8,260.72,1
8647,TEACHER,3RD,Teachers,1,66,Ocean Drive Elementary,66,Ocean Drive Elementary,190,4806,30,8/6/2017,4/25/2024,7,5/25/1993,31,1,Active,1,28,6,51284.8,269.92,1
